"mbr_id","nick_nm","mobl_no","emal_adr","join_dtm","join_tp","mbr_gd","mbr_st","leave_dtm"
M0001,Air,"0001-0001",Air@mail.com,"2019-03-26 00:00:00",DRCT,GOLD,ACTV,
M0002,Apple,"0002-0002",Apple@mail.com,"2019-03-22 00:00:00",SNS,GOLD,ACTV,
M0003,Cloud,"0003-0003",Cloud@mail.com,"2019-03-27 00:00:00",SNS,GOLD,ACTV,
M0004,Coffee,"0004-0004",Coffee@mail.com,"2019-03-21 00:00:00",DRCT,SILV,ACTV,
M0005,Comet,"0005-0005",Comet@mail.com,"2019-03-28 00:00:00",SNS,GOLD,ACTV,
M0006,Copper,"0006-0006",Copper@mail.com,"2019-03-24 00:00:00",DRCT,PLAT,ACTV,
M0007,Cosmos,"0007-0007",Cosmos@mail.com,"2019-03-22 00:00:00",SNS,GOLD,ACTV,
M0008,Dark,"0008-0008",Dark@mail.com,"2019-03-29 00:00:00",SNS,GOLD,ACTV,
M0009,Diamond,"0009-0009",Diamond@mail.com,"2019-03-29 00:00:00",INV,GOLD,ACTV,
M0010,Earth,"0010-0010",Earth@mail.com,"2019-04-04 00:00:00",DRCT,GOLD,ACTV,
M0011,Ember,"0011-0011",Ember@mail.com,"2019-04-04 00:00:00",DRCT,GOLD,ACTV,
M0012,Fire,"0012-0012",Fire@mail.com,"2019-04-03 00:00:00",DRCT,GOLD,ACTV,
M0013,Flame,"0013-0013",Flame@mail.com,"2019-04-03 00:00:00",DRCT,GOLD,ACTV,
M0014,Forest,"0014-0014",Forest@mail.com,"2019-04-07 00:00:00",DRCT,SILV,ACTV,
M0015,Frost,"0015-0015",Frost@mail.com,"2019-03-26 00:00:00",SNS,GOLD,ACTV,
M0016,Galaxy,"0016-0016",Galaxy@mail.com,"2019-03-22 00:00:00",SNS,GOLD,ACTV,
M0017,Gold,"0017-0017",Gold@mail.com,"2019-03-27 00:00:00",DRCT,PLAT,ACTV,
M0018,Green,"0018-0018",Green@mail.com,"2019-03-21 00:00:00",DRCT,GOLD,ACTV,
M0019,Ice,"0019-0019",Ice@mail.com,"2019-03-28 00:00:00",DRCT,PLAT,ACTV,
M0020,Lake,"0020-0020",Lake@mail.com,"2019-03-24 00:00:00",SNS,PLAT,ACTV,
M0021,Leaf,"0021-0021",Leaf@mail.com,"2019-03-22 00:00:00",DRCT,GOLD,ACTV,
M0022,Light,"0022-0022",Light@mail.com,"2019-03-29 00:00:00",SNS,GOLD,ACTV,
M0023,Lightning,"0023-0023",Lightning@mail.com,"2019-03-29 00:00:00",INV,GOLD,ACTV,
M0024,Metal,"0024-0024",Metal@mail.com,"2019-04-04 00:00:00",DRCT,SILV,ACTV,
M0025,Meteor,"0025-0025",Meteor@mail.com,"2019-04-04 00:00:00",DRCT,GOLD,ACTV,
M0026,Moon,"0026-0026",Moon@mail.com,"2019-04-03 00:00:00",DRCT,GOLD,ACTV,
M0027,Mountain,"0027-0027",Mountain@mail.com,"2019-04-03 00:00:00",DRCT,GOLD,ACTV,
M0028,Nebula,"0028-0028",Nebula@mail.com,"2019-04-07 00:00:00",DRCT,GOLD,ACTV,
M0029,Ocean,"0029-0029",Ocean@mail.com,"2019-03-20 00:00:00",DRCT,GOLD,ACTV,
M0030,Pearl,"0030-0030",Pearl@mail.com,"2019-03-16 00:00:00",SNS,GOLD,ACTV,
M0031,Pika,"0031-0031",Pika@mail.com,"2019-03-21 00:00:00",DRCT,GOLD,ACTV,
M0032,Pink,"0032-0032",Pink@mail.com,"2019-03-15 00:00:00",DRCT,GOLD,ACTV,
M0033,Quantum,"0033-0033",Quantum@mail.com,"2019-03-22 00:00:00",DRCT,GOLD,ACTV,
M0034,River,"0034-0034",River@mail.com,"2019-03-18 00:00:00",DRCT,PLAT,ACTV,
M0035,Ruby,"0035-0035",Ruby@mail.com,"2019-03-16 00:00:00",DRCT,GOLD,ACTV,
M0036,Shadow,"0036-0036",Shadow@mail.com,"2019-03-23 00:00:00",DRCT,GOLD,ACTV,
M0037,Silver,"0037-0037",Silver@mail.com,"2019-03-23 00:00:00",DRCT,GOLD,ACTV,
M0038,Sky,"0038-0038",Sky@mail.com,"2019-03-29 00:00:00",INV,GOLD,ACTV,
M0039,Space,"0039-0039",Space@mail.com,"2019-03-29 00:00:00",SNS,GOLD,ACTV,
M0040,Spark,"0040-0040",Spark@mail.com,"2019-03-28 00:00:00",INV,GOLD,ACTV,
